1	chr1
HSCHR11_1_CTG2	KI270826.1
HSCHR11_1_CTG3	KI270827.1
HSCHR11_1_CTG5	KI270829.1
HSCHR11_1_CTG6	KI270830.1
HSCHR11_1_CTG7	KI270831.1
HSCHR11_1_CTG8	KI270832.1
HSCHR12_5_CTG2_1	KI270833.1
HSCHR12_6_CTG2_1	KI270834.1
HSCHR12_4_CTG2	KI270835.1
HSCHR12_7_CTG2_1	KI270836.1
HSCHR12_5_CTG2	KI270837.1
HSCHR13_1_CTG1	KI270838.1
HSCHR13_1_CTG2	KI270839.1
HSCHR13_1_CTG3	KI270840.1
HSCHR13_1_CTG4	KI270841.1
HSCHR13_1_CTG5	KI270842.1
HSCHR13_1_CTG6	KI270843.1
HSCHR14_1_CTG1	KI270844.1
HSCHR14_2_CTG1	KI270845.1
HSCHR14_3_CTG1	KI270846.1
HSCHR14_7_CTG1	KI270847.1
HSCHR15_1_CTG3	KI270848.1
HSCHR15_3_CTG8	KI270849.1
HSCHR15_5_CTG8	KI270850.1
HSCHR15_3_CTG3	KI270851.1
HSCHR15_1_CTG1	KI270852.1
HSCHR16_1_CTG1	KI270853.1
HSCHR16_CTG2	KI270854.1
HSCHR16_3_CTG1	KI270855.1
HSCHR16_4_CTG1	KI270856.1
HSCHR17_7_CTG4	KI270857.1
HSCHR17_8_CTG4	KI270858.1
HSCHR17_9_CTG4	KI270859.1
HSCHR17_1_CTG9	KI270860.1
HSCHR17_1_CTG2	KI270861.1
HSCHR17_2_CTG2	KI270862.1
HSCHR18_3_CTG2_1	KI270863.1
HSCHR18_4_CTG1_1	KI270864.1
HSCHR19_4_CTG2	KI270865.1
HSCHR19_2_CTG3_1	KI270866.1
HSCHR19_3_CTG3_1	KI270867.1
HSCHR19_5_CTG2	KI270868.1
HSCHR20_1_CTG2	KI270869.1
HSCHR20_1_CTG3	KI270870.1
HSCHR20_1_CTG4	KI270871.1
HSCHR21_5_CTG2	KI270872.1
HSCHR21_6_CTG1_1	KI270873.1
HSCHR21_8_CTG1_1	KI270874.1
HSCHR22_1_CTG3	KI270875.1
HSCHR22_1_CTG4	KI270876.1
HSCHR22_1_CTG5	KI270877.1
HSCHR22_1_CTG6	KI270878.1
HSCHR22_1_CTG7	KI270879.1
HSCHRX_1_CTG3	KI270880.1
HSCHRX_2_CTG12	KI270881.1
HSCHR19KIR_FH15_B_HAP_CTG3_1	KI270882.1
HSCHR19KIR_G085_A_HAP_CTG3_1	KI270883.1
HSCHR19KIR_G085_BA1_HAP_CTG3_1	KI270884.1
HSCHR19KIR_G248_A_HAP_CTG3_1	KI270885.1
HSCHR19KIR_G248_BA2_HAP_CTG3_1	KI270886.1
HSCHR19KIR_GRC212_AB_HAP_CTG3_1	KI270887.1
HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	KI270888.1
HSCHR19KIR_LUCE_A_HAP_CTG3_1	KI270889.1
HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	KI270890.1
HSCHR19KIR_RSH_A_HAP_CTG3_1	KI270891.1
HSCHR1_ALT2_1_CTG32_1	KI270892.1
HSCHR2_2_CTG15	KI270893.1
HSCHR2_2_CTG7	KI270894.1
HSCHR3_3_CTG3	KI270895.1
HSCHR4_6_CTG12	KI270896.1
HSCHR5_1_CTG1_1	KI270897.1
HSCHR5_3_CTG5	KI270898.1
HSCHR7_2_CTG1	KI270899.1
HSCHR8_5_CTG1	KI270900.1
HSCHR8_6_CTG1	KI270901.1
HSCHR11_2_CTG1	KI270902.1
HSCHR11_2_CTG1_1	KI270903.1
HSCHR12_3_CTG2	KI270904.1
HSCHR15_4_CTG8	KI270905.1
HSCHR15_2_CTG3	KI270906.1
HSCHR17_2_CTG1	KI270907.1
HSCHR17_2_CTG5	KI270908.1
HSCHR17_10_CTG4	KI270909.1
HSCHR17_3_CTG2	KI270910.1
HSCHR18_ALT2_CTG2_1	KI270911.1
HSCHR18_ALT21_CTG2_1	KI270912.1
HSCHRX_2_CTG3	KI270913.1
HSCHR19KIR_RSH_BA2_HAP_CTG3_1	KI270914.1
HSCHR19KIR_T7526_A_HAP_CTG3_1	KI270915.1
HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	KI270916.1
HSCHR19KIR_ABC08_A1_HAP_CTG3_1	KI270917.1
HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	KI270918.1
HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	KI270919.1
HSCHR19KIR_FH05_A_HAP_CTG3_1	KI270920.1
HSCHR19KIR_FH05_B_HAP_CTG3_1	KI270921.1
HSCHR19KIR_FH06_A_HAP_CTG3_1	KI270922.1
HSCHR19KIR_FH06_BA1_HAP_CTG3_1	KI270923.1
HSCHR3_4_CTG3	KI270924.1
HSCHR4_7_CTG12	KI270925.1
HSCHR8_7_CTG1	KI270926.1
HSCHR11_3_CTG1	KI270927.1
HSCHR22_3_CTG1	KI270928.1
HSCHR19KIR_FH08_A_HAP_CTG3_1	KI270929.1
HSCHR19KIR_FH08_BAX_HAP_CTG3_1	KI270930.1
HSCHR19KIR_FH13_A_HAP_CTG3_1	KI270931.1
HSCHR19KIR_FH13_BA2_HAP_CTG3_1	KI270932.1
HSCHR19KIR_FH15_A_HAP_CTG3_1	KI270933.1
HSCHR3_5_CTG3	KI270934.1
HSCHR3_6_CTG3	KI270935.1
HSCHR3_7_CTG3	KI270936.1
HSCHR3_8_CTG3	KI270937.1
HSCHR19_4_CTG3_1	KI270938.1
HG986_PATCH	KN196472.1
HG2058_PATCH	KN196473.1
HG2104_PATCH	KN196474.1
HG2066_PATCH	KN196475.1
HG2022_PATCH	KN196476.1
HSCHR5_7_CTG1	KN196477.1
HG2128_PATCH	KN196478.1
HG2030_PATCH	KN196479.1
HG2191_PATCH	KN196480.1
HG2217_PATCH	KN196481.1
HG23_PATCH	KN196482.1
HG2216_PATCH	KN196483.1
HG2021_PATCH	KN196484.1
HSCHR22_4_CTG1	KN196485.1
HSCHR22_5_CTG1	KN196486.1
HG2062_PATCH	KN196487.1
HG1832_PATCH	KN538360.1
HG2095_PATCH	KN538361.1
HG2233_PATCH	KN538362.1
HG2232_PATCH	KN538363.1
HG126_PATCH	KN538364.1
HG2241_PATCH	KN538365.1
HG2242_HG2243_PATCH	KN538366.1
HG2244_HG2245_PATCH	KN538367.1
HSCHR11_1_CTG1_2	KN538368.1
HG1362_PATCH	KN538369.1
HG2247_PATCH	KN538370.1
HG2288_HG2289_PATCH	KN538371.1
HG2291_PATCH	KN538372.1
HG2249_PATCH	KN538373.1
HG1342_HG2282_PATCH	KQ031383.1
HG2290_PATCH	KQ031384.1
HG2235_PATCH	KQ031385.1
HG2237_PATCH	KQ031386.1
HG1651_PATCH	KQ031387.1
HG2239_PATCH	KQ031388.1
HSCHR15_6_CTG8	KQ031389.1
HSCHR16_3_CTG3_1	KQ031390.1
HSCHR4_2_CTG4	KQ090013.1
HSCHR4_8_CTG12	KQ090014.1
HSCHR4_9_CTG12	KQ090015.1
HG2072_PATCH	KQ090016.1
HSCHR6_1_CTG10	KQ090017.1
HSCHR9_1_CTG6	KQ090018.1
HSCHR9_1_CTG7	KQ090019.1
HSCHR10_1_CTG6	KQ090020.1
HG2334_PATCH	KQ090021.1
HG2116_PATCH	KQ090022.1
HSCHR12_2_CTG1	KQ090023.1
HSCHR13_1_CTG7	KQ090024.1
HSCHR13_1_CTG8	KQ090025.1
HSCHR16_5_CTG1	KQ090026.1
HSCHR16_4_CTG3_1	KQ090027.1
HG2213_PATCH	KQ090028.1
HSCHR1_3_CTG3	KQ458382.1
HSCHR1_4_CTG3	KQ458383.1
HSCHR1_5_CTG32_1	KQ458384.1
HSCHR18_5_CTG1_1	KQ458385.1
HG26_PATCH	KQ458386.1
HSCHR22_6_CTG1	KQ458387.1
HSCHR22_7_CTG1	KQ458388.1
HG107_PATCH	KQ759759.1
HG2063_PATCH	KQ759760.1
HSCHR22_8_CTG1	KQ759761.1
HG1311_PATCH	KQ759762.1
HSCHR1_5_CTG3	KQ983255.1
HSCHR2_6_CTG7_2	KQ983256.1
HG2023_PATCH	KQ983257.1
HSCHR4_11_CTG12	KQ983258.1
1	NC_000001.11
2	NC_000002.12
3	NC_000003.12
4	NC_000004.12
5	NC_000005.10
6	NC_000006.12
7	NC_000007.14
8	NC_000008.11
9	NC_000009.12
10	NC_000010.11
11	NC_000011.10
12	NC_000012.12
13	NC_000013.11
14	NC_000014.9
15	NC_000015.10
16	NC_000016.10
17	NC_000017.11
18	NC_000018.10
19	NC_000019.10
20	NC_000020.11
21	NC_000021.9
22	NC_000022.11
X	NC_000023.11
Y	NC_000024.10
MT	NC_012920.1
GL000016.2	NT_004487.20
GL000022.2	NT_005334.17
GL000029.2	NT_005403.18
GL000035.2	NT_005612.17
GL000038.2	NT_006051.19
GL000042.2	NT_006238.12
GL000039.2	NT_006316.17
GL000047.2	NT_006576.17
GL000052.2	NT_007592.16
GL000055.2	NT_007819.18
GL000059.2	NT_007933.16
GL000067.2	NT_008046.17
GL000066.2	NT_008183.20
GL000069.2	NT_008413.19
GL000089.2	NT_008470.20
GL000093.2	NT_008705.17
GL000101.2	NT_009237.19
GL000106.2	NT_009714.18
GL000105.2	NT_009759.17
GL000112.2	NT_009952.15
GL000121.2	NT_010194.18
GL000124.2	NT_010393.17
GL000126.2	NT_010498.16
GL000133.2	NT_010663.16
GL000129.2	NT_010718.17
GL000132.2	NT_010783.16
GL000134.2	NT_010859.15
GL000135.2	NT_010966.15
GL000140.2	NT_011109.17
GL000139.2	NT_011295.12
GL000143.2	NT_011362.11
GL000141.2	NT_011387.9
GL000151.2	NT_011512.12
GL000155.2	NT_011520.13
GL000156.2	NT_011526.8
GL000167.2	NT_011630.15
GL000169.2	NT_011651.18
GL000172.2	NT_011681.17
GL000171.2	NT_011786.17
GL000186.2	NT_011875.13
GL000183.1	NT_011878.9
GL000181.2	NT_011896.10
GL000187.1	NT_011903.12
GL000046.2	NT_016354.20
GL000024.2	NT_022184.16
GL000033.2	NT_022517.19
GL000040.2	NT_022794.11
GL000044.2	NT_022853.16
GL000051.2	NT_023133.14
GL000057.2	NT_023603.6
GL000062.2	NT_023736.18
GL000110.2	NT_024477.15
GL000115.2	NT_024498.13
GL000111.2	NT_024524.15
GL000125.2	NT_024773.12
GL000130.2	NT_024862.15
GL000128.2	NT_024972.9
GL000142.2	NT_025215.5
GL000054.2	NT_025741.16
GL000188.2	NT_025975.3
GL000116.2	NT_026437.13
GL000113.2	NT_027140.7
GL000170.2	NT_028405.13
GL000050.2	NT_029289.12
GL000107.2	NT_029419.13
GL000150.2	NT_029490.5
GL000099.2	NT_030059.14
GL000006.2	NT_032977.10
GL000104.2	NT_033899.9
GL000026.2	NT_034508.3
GL000049.2	NT_034772.7
GL000043.1	NT_037645.2
GL000117.2	NT_037852.7
GL000001.2	NT_077402.3
GL000058.2	NT_077528.3
GL000063.2	NT_077531.5
GL000002.2	NT_077912.2
GL000080.2	NT_078052.5
GL000074.2	NT_078055.5
GL000084.1	NT_078067.3
GL000086.2	NT_078070.4
GL000119.2	NT_078094.3
GL000164.2	NT_079573.5
GL000078.1	NT_086755.3
GL000182.2	NT_086998.2
GL000184.2	NT_087001.2
GL000189.1	NT_091573.1
GL000008.2	NT_113793.3
GL000009.2	NT_113796.3
GL000185.2	NT_113819.2
GL000194.1	NT_113888.1
GL000218.1	NT_113889.1
HSCHR6_MHC_COX_CTG1	NT_113891.3
GL000195.1	NT_113901.1
GL000198.2	NT_113914.2
GL000199.1	NT_113916.2
GL000212.1	NT_113923.1
GL000205.2	NT_113930.2
GL000208.1	NT_113948.1
HSCHR19KIR_RP5_B_HAP_CTG3_1	NT_113949.2
GL000145.1	NT_113952.1
GL000148.1	NT_113953.1
GL000146.1	NT_113954.1
GL000147.1	NT_113958.2
GL000211.2	NT_113961.2
GL000018.2	NT_167186.2
GL000064.2	NT_167187.2
GL000103.2	NT_167190.2
GL000163.2	NT_167197.2
GL000176.2	NT_167201.2
GL000180.2	NT_167205.2
GL000190.2	NT_167206.2
GL000213.1	NT_167208.1
GL000214.1	NT_167209.1
GL000216.2	NT_167211.2
GL000217.2	NT_167212.2
GL000219.1	NT_167213.1
GL000220.1	NT_167214.1
GL000221.1	NT_167215.1
GL000224.1	NT_167218.1
GL000225.1	NT_167219.1
GL000226.1	NT_167220.1
GL000233.2	NT_167227.2
GL000235.1	NT_167229.1
GL000236.1	NT_167230.1
GL000237.2	NT_167231.2
GL000240.1	NT_167234.1
GL000241.1	NT_167235.1
GL000243.1	NT_167237.1
GL000244.1	NT_167238.1
GL000245.1	NT_167239.1
HSCHR6_MHC_APD_CTG1	NT_167244.2
HSCHR6_MHC_DBB_CTG1	NT_167245.2
HSCHR6_MHC_MANN_CTG1	NT_167246.2
HSCHR6_MHC_MCF_CTG1	NT_167247.2
HSCHR6_MHC_QBL_CTG1	NT_167248.2
HSCHR6_MHC_SSTO_CTG1	NT_167249.2
HSCHR4_1_CTG9	NT_167250.2
HSCHR17_1_CTG5	NT_167251.2
KI270299.1	NT_187170.1
KI270300.1	NT_187171.1
KI270301.1	NT_187172.1
KI866532.1	NT_187173.1
KI270319.1	NT_187174.1
KI270321.1	NT_187175.1
KI270323.1	NT_187176.1
KI270324.1	NT_187177.1
KI270325.1	NT_187178.1
KI270326.1	NT_187179.1
KI270327.1	NT_187180.1
KI270328.1	NT_187181.1
KI270331.1	NT_187182.1
KI270332.1	NT_187183.1
KI270339.1	NT_187184.1
KI270342.1	NT_187185.1
KI270343.1	NT_187186.1
KI270344.1	NT_187187.1
KI270345.1	NT_187188.1
KI270346.1	NT_187189.1
KI270347.1	NT_187190.1
KI270348.1	NT_187191.1
KI270314.1	NT_187192.1
KI866533.1	NT_187193.1
KI270308.1	NT_187194.1
KI270309.1	NT_187195.1
KI270313.1	NT_187196.1
KI270365.1	NT_187197.1
KI270367.1	NT_187198.1
KI270368.1	NT_187199.1
KI270369.1	NT_187200.1
KI270370.1	NT_187201.1
KI270377.1	NT_187202.1
KI270380.1	NT_187203.1
KI270397.1	NT_187204.1
KI270398.1	NT_187205.1
KI270399.1	NT_187206.1
KI270400.1	NT_187207.1
KI270401.1	NT_187208.1
KI270402.1	NT_187209.1
KI270403.1	NT_187210.1
KI270404.1	NT_187211.1
KI270405.1	NT_187212.1
KI270406.1	NT_187213.1
KI270407.1	NT_187214.1
KI270408.1	NT_187215.1
KI270409.1	NT_187216.1
KI270410.1	NT_187217.1
KI270413.1	NT_187218.1
KI270416.1	NT_187219.1
KI270421.1	NT_187220.1
KI270426.1	NT_187221.1
KI270427.1	NT_187222.1
KI270428.1	NT_187223.1
KI270430.1	NT_187224.1
KI270431.1	NT_187225.1
KI270432.1	NT_187226.1
KI270433.1	NT_187227.1
KI270439.1	NT_187228.1
KI270440.1	NT_187229.1
KI270441.1	NT_187230.1
KI270443.1	NT_187231.1
KI270445.1	NT_187232.1
KI270446.1	NT_187233.1
KI270447.1	NT_187234.1
KI270450.1	NT_187235.1
KI866534.1	NT_187236.1
KI866535.1	NT_187237.1
KI270464.1	NT_187238.1
KI270469.1	NT_187239.1
KI270470.1	NT_187240.1
KI270434.1	NT_187241.1
KI270473.1	NT_187242.1
KI270476.1	NT_187243.1
KI270477.1	NT_187244.1
KI270478.1	NT_187245.1
KI270480.1	NT_187246.1
KI270482.1	NT_187247.1
KI270483.1	NT_187248.1
KI270484.1	NT_187249.1
KI270486.1	NT_187250.1
KI270487.1	NT_187251.1
KI866536.1	NT_187252.1
KI866537.1	NT_187253.1
KI270501.1	NT_187254.1
KI270506.1	NT_187255.1
KI270513.1	NT_187256.1
KI270514.1	NT_187257.1
KI270520.1	NT_187258.1
KI270523.1	NT_187259.1
KI270524.1	NT_187260.1
KI270525.1	NT_187261.1
KI270526.1	NT_187262.1
KI270527.1	NT_187263.1
KI270531.1	NT_187264.1
KI270532.1	NT_187265.1
KI270533.1	NT_187266.1
KI270534.1	NT_187267.1
KI270535.1	NT_187268.1
KI270536.1	NT_187269.1
KI270537.1	NT_187270.1
KI270540.1	NT_187271.1
KI270541.1	NT_187272.1
KI270542.1	NT_187273.1
KI270543.1	NT_187274.1
KI270545.1	NT_187275.1
KI270546.1	NT_187276.1
KI270547.1	NT_187277.1
KI270549.1	NT_187278.1
KI270550.1	NT_187279.1
KI270551.1	NT_187280.1
KI270552.1	NT_187281.1
KI270557.1	NT_187282.1
KI270307.1	NT_187283.1
KI270318.1	NT_187284.1
KI866538.1	NT_187285.1
KI270571.1	NT_187286.1
KI270572.1	NT_187287.1
KI270573.1	NT_187288.1
KI270574.1	NT_187289.1
KI270575.1	NT_187290.1
KI270577.1	NT_187291.1
KI270578.1	NT_187292.1
KI270585.1	NT_187293.1
KI270586.1	NT_187294.1
KI270592.1	NT_187295.1
KI270595.1	NT_187296.1
KI270596.1	NT_187297.1
KI270597.1	NT_187298.1
KI270598.1	NT_187299.1
KI270599.1	NT_187300.1
KI270600.1	NT_187301.1
KI270601.1	NT_187302.1
KI270602.1	NT_187303.1
KI270603.1	NT_187304.1
KI270604.1	NT_187305.1
KI270605.1	NT_187306.1
KI270606.1	NT_187307.1
KI270607.1	NT_187308.1
KI270608.1	NT_187309.1
KI270609.1	NT_187310.1
KI270610.1	NT_187311.1
KI270611.1	NT_187312.1
KI270612.1	NT_187313.1
KI270613.1	NT_187314.1
KI270614.1	NT_187315.1
KI270615.1	NT_187316.1
KI270616.1	NT_187317.1
KI270617.1	NT_187318.1
KI270618.1	NT_187319.1
KI270619.1	NT_187320.1
KI270620.1	NT_187321.1
KI270626.1	NT_187322.1
KI270627.1	NT_187323.1
KI270628.1	NT_187324.1
KI270630.1	NT_187325.1
KI270632.1	NT_187326.1
KI270633.1	NT_187327.1
KI270634.1	NT_187328.1
KI270637.1	NT_187329.1
KI866539.1	NT_187330.1
KI866540.1	NT_187331.1
KI270651.1	NT_187332.1
KI270656.1	NT_187333.1
KI270657.1	NT_187334.1
KI270658.1	NT_187335.1
KI270659.1	NT_187336.1
KI270660.1	NT_187337.1
KI270661.1	NT_187338.1
KI270662.1	NT_187339.1
KI270663.1	NT_187340.1
KI270436.1	NT_187341.1
KI270669.1	NT_187342.1
KI270670.1	NT_187343.1
KI270671.1	NT_187344.1
KI270673.1	NT_187345.1
KI270675.1	NT_187346.1
KI270676.1	NT_187347.1
KI270677.1	NT_187348.1
KI270449.1	NT_187349.1
KI270680.1	NT_187350.1
KI866541.1	NT_187351.1
KI866542.1	NT_187352.1
KI270694.1	NT_187353.1
KI270699.1	NT_187354.1
KI270700.1	NT_187355.1
KI270701.1	NT_187356.1
KI270702.1	NT_187357.1
KI270703.1	NT_187358.1
KI270704.1	NT_187359.1
KI270705.1	NT_187360.1
KI270706.1	NT_187361.1
KI270707.1	NT_187362.1
KI270708.1	NT_187363.1
KI270709.1	NT_187364.1
KI270710.1	NT_187365.1
KI270711.1	NT_187366.1
KI270712.1	NT_187367.1
KI270713.1	NT_187368.1
KI270714.1	NT_187369.1
KI270715.1	NT_187370.1
KI270716.1	NT_187371.1
KI270717.1	NT_187372.1
KI270718.1	NT_187373.1
KI270719.1	NT_187374.1
KI270720.1	NT_187375.1
KI270721.1	NT_187376.1
KI270722.1	NT_187377.1
KI270723.1	NT_187378.1
KI270724.1	NT_187379.1
KI270725.1	NT_187380.1
KI270726.1	NT_187381.1
KI270727.1	NT_187382.1
KI270728.1	NT_187383.1
KI270729.1	NT_187384.1
KI270730.1	NT_187385.1
KI270731.1	NT_187386.1
KI270732.1	NT_187387.1
KI270733.1	NT_187388.1
KI270734.1	NT_187389.1
KI270735.1	NT_187390.1
KI270736.1	NT_187391.1
KI270737.1	NT_187392.1
KI270738.1	NT_187393.1
KI270739.1	NT_187394.1
KI270740.1	NT_187395.1
KI270302.1	NT_187396.1
KI270304.1	NT_187397.1
KI270303.1	NT_187398.1
KI270305.1	NT_187399.1
KI270322.1	NT_187400.1
KI270320.1	NT_187401.1
KI270310.1	NT_187402.1
KI270316.1	NT_187403.1
KI270315.1	NT_187404.1
KI270312.1	NT_187405.1
KI270311.1	NT_187406.1
KI270317.1	NT_187407.1
KI270412.1	NT_187408.1
KI270411.1	NT_187409.1
KI270414.1	NT_187410.1
KI270419.1	NT_187411.1
KI270418.1	NT_187412.1
KI270420.1	NT_187413.1
KI270424.1	NT_187414.1
KI270417.1	NT_187415.1
KI270422.1	NT_187416.1
KI270423.1	NT_187417.1
KI270425.1	NT_187418.1
KI270429.1	NT_187419.1
KI270442.1	NT_187420.1
KI270466.1	NT_187421.1
KI270465.1	NT_187422.1
KI270467.1	NT_187423.1
KI270435.1	NT_187424.1
KI270438.1	NT_187425.1
KI270468.1	NT_187426.1
KI270510.1	NT_187427.1
KI270509.1	NT_187428.1
KI270518.1	NT_187429.1
KI270508.1	NT_187430.1
KI270516.1	NT_187431.1
KI270512.1	NT_187432.1
KI270519.1	NT_187433.1
KI270522.1	NT_187434.1
KI270511.1	NT_187435.1
KI270515.1	NT_187436.1
KI270507.1	NT_187437.1
KI270517.1	NT_187438.1
KI270529.1	NT_187439.1
KI270528.1	NT_187440.1
KI270530.1	NT_187441.1
KI270539.1	NT_187442.1
KI270538.1	NT_187443.1
KI270544.1	NT_187444.1
KI270548.1	NT_187445.1
KI270583.1	NT_187446.1
KI270587.1	NT_187447.1
KI270580.1	NT_187448.1
KI270581.1	NT_187449.1
KI270579.1	NT_187450.1
KI270589.1	NT_187451.1
KI270590.1	NT_187452.1
KI270584.1	NT_187453.1
KI270582.1	NT_187454.1
KI270588.1	NT_187455.1
KI270593.1	NT_187456.1
KI270591.1	NT_187457.1
KI270330.1	NT_187458.1
KI270329.1	NT_187459.1
KI270334.1	NT_187460.1
KI270333.1	NT_187461.1
KI270335.1	NT_187462.1
KI270338.1	NT_187463.1
KI270340.1	NT_187464.1
KI270336.1	NT_187465.1
KI270337.1	NT_187466.1
KI270363.1	NT_187467.1
KI270364.1	NT_187468.1
KI270362.1	NT_187469.1
KI270366.1	NT_187470.1
KI270378.1	NT_187471.1
KI270379.1	NT_187472.1
KI270389.1	NT_187473.1
KI270390.1	NT_187474.1
KI270387.1	NT_187475.1
KI270395.1	NT_187476.1
KI270396.1	NT_187477.1
KI270388.1	NT_187478.1
KI270394.1	NT_187479.1
KI270386.1	NT_187480.1
KI270391.1	NT_187481.1
KI270383.1	NT_187482.1
KI270393.1	NT_187483.1
KI270384.1	NT_187484.1
KI270392.1	NT_187485.1
KI270381.1	NT_187486.1
KI270385.1	NT_187487.1
KI270382.1	NT_187488.1
KI270376.1	NT_187489.1
KI270374.1	NT_187490.1
KI270372.1	NT_187491.1
KI270373.1	NT_187492.1
KI270375.1	NT_187493.1
KI270371.1	NT_187494.1
KI270448.1	NT_187495.1
KI270521.1	NT_187496.1
KI270741.1	NT_187497.1
KI270743.1	NT_187498.1
KI270744.1	NT_187499.1
KI270745.1	NT_187500.1
KI270746.1	NT_187501.1
KI270747.1	NT_187502.1
KI270748.1	NT_187503.1
KI270749.1	NT_187504.1
KI270750.1	NT_187505.1
KI270751.1	NT_187506.1
KI270752.1	NT_187507.1
KI270753.1	NT_187508.1
KI270754.1	NT_187509.1
KI270755.1	NT_187510.1
KI270756.1	NT_187511.1
KI270757.1	NT_187512.1
KI270742.1	NT_187513.1
HSCHR1_1_CTG11	NT_187514.1
HSCHR1_1_CTG3	NT_187515.1
HSCHR1_1_CTG32_1	NT_187516.1
HSCHR1_2_CTG3	NT_187517.1
HSCHR1_2_CTG32_1	NT_187518.1
HSCHR1_3_CTG32_1	NT_187519.1
HSCHR1_4_CTG31	NT_187520.1
HSCHR1_4_CTG32_1	NT_187521.1
HSCHR2_1_CTG1	NT_187522.1
HSCHR2_1_CTG15	NT_187523.1
HSCHR2_1_CTG7	NT_187524.1
HSCHR2_2_CTG1	NT_187525.1
HSCHR2_3_CTG1	NT_187526.1
HSCHR2_3_CTG15	NT_187527.1
HSCHR2_3_CTG7_2	NT_187528.1
HSCHR2_4_CTG1	NT_187529.1
HSCHR2_4_CTG7_2	NT_187530.1
HSCHR2_5_CTG7_2	NT_187531.1
HSCHR3_1_CTG3	NT_187532.1
HSCHR3_2_CTG2_1	NT_187533.1
HSCHR3_2_CTG3	NT_187534.1
HSCHR3_3_CTG1	NT_187535.1
HSCHR3_3_CTG2_1	NT_187536.1
HSCHR3_4_CTG2_1	NT_187537.1
HSCHR3_5_CTG2_1	NT_187538.1
HSCHR3_9_CTG3	NT_187539.1
HSCHR4_1_CTG4	NT_187540.1
HSCHR4_1_CTG8_1	NT_187541.1
HSCHR4_2_CTG12	NT_187542.1
HSCHR4_3_CTG12	NT_187543.1
HSCHR4_4_CTG12	NT_187544.1
HSCHR4_5_CTG12	NT_187545.1
HSCHR5_2_CTG5	NT_187546.1
HSCHR5_3_CTG1	NT_187547.1
HSCHR5_4_CTG1	NT_187548.1
HSCHR5_4_CTG1_1	NT_187549.1
HSCHR5_5_CTG1	NT_187550.1
HSCHR5_6_CTG1	NT_187551.1
HSCHR6_1_CTG4	NT_187552.1
HSCHR6_1_CTG5	NT_187553.1
HSCHR6_1_CTG6	NT_187554.1
HSCHR6_1_CTG7	NT_187555.1
HSCHR6_1_CTG8	NT_187556.1
HSCHR6_1_CTG9	NT_187557.1
HSCHR7_1_CTG1	NT_187558.1
HSCHR7_1_CTG4_4	NT_187559.1
HSCHR7_1_CTG7	NT_187560.1
HSCHR7_2_CTG4_4	NT_187561.1
HSCHR7_2_CTG6	NT_187562.1
HSCHR7_2_CTG7	NT_187563.1
HSCHR7_3_CTG6	NT_187564.1
HSCHR8_1_CTG1	NT_187565.1
HSCHR8_1_CTG6	NT_187566.1
HSCHR8_1_CTG7	NT_187567.1
HSCHR8_2_CTG1	NT_187568.1
HSCHR8_2_CTG7	NT_187569.1
HSCHR8_3_CTG1	NT_187570.1
HSCHR8_3_CTG7	NT_187571.1
HSCHR8_4_CTG1	NT_187572.1
HSCHR8_4_CTG7	NT_187573.1
HSCHR8_5_CTG7	NT_187574.1
HSCHR8_6_CTG7	NT_187575.1
HSCHR8_8_CTG1	NT_187576.1
HSCHR8_9_CTG1	NT_187577.1
HSCHR9_1_CTG5	NT_187578.1
HSCHR10_1_CTG3	NT_187579.1
HSCHR10_1_CTG4	NT_187580.1
HSCHR11_1_CTG2	NT_187581.1
HSCHR11_1_CTG3	NT_187582.1
HSCHR11_1_CTG5	NT_187583.1
HSCHR11_1_CTG6	NT_187584.1
HSCHR11_1_CTG7	NT_187585.1
HSCHR11_1_CTG8	NT_187586.1
HSCHR12_4_CTG2	NT_187587.1
HSCHR12_5_CTG2	NT_187588.1
HSCHR12_5_CTG2_1	NT_187589.1
HSCHR12_6_CTG2_1	NT_187590.1
HSCHR12_7_CTG2_1	NT_187591.1
HSCHR13_1_CTG1	NT_187592.1
HSCHR13_1_CTG2	NT_187593.1
HSCHR13_1_CTG3	NT_187594.1
HSCHR13_1_CTG4	NT_187595.1
HSCHR13_1_CTG5	NT_187596.1
HSCHR13_1_CTG6	NT_187597.1
HSCHR14_1_CTG1	NT_187598.1
HSCHR14_2_CTG1	NT_187599.1
HSCHR14_3_CTG1	NT_187600.1
HSCHR14_7_CTG1	NT_187601.1
HSCHR15_1_CTG1	NT_187602.1
HSCHR15_1_CTG3	NT_187603.1
HSCHR15_3_CTG3	NT_187604.1
HSCHR15_3_CTG8	NT_187605.1
HSCHR15_5_CTG8	NT_187606.1
HSCHR16_1_CTG1	NT_187607.1
HSCHR16_3_CTG1	NT_187608.1
HSCHR16_4_CTG1	NT_187609.1
HSCHR16_CTG2	NT_187610.1
HSCHR17_1_CTG2	NT_187611.1
HSCHR17_1_CTG9	NT_187612.1
HSCHR17_2_CTG2	NT_187613.1
HSCHR17_7_CTG4	NT_187614.1
